Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637585208.597219,1637585208.614699,0,17.479896545410156,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6640,1329,10,5,6524,983,,1.0,0,0,
1637585209.651308,1637585209.659339,1,8.030891418457031,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,0.8,0,0,
1637585210.682241,1637585210.691214,2,8.973121643066406,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,0.5,0,0,
1637585211.716029,1637585211.724998,3,8.96906852722168,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6629,1329,10,5,6513,983,,0.5,0,0,
1637585212.747297,1637585212.755932,4,8.63504409790039,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6636,1329,10,5,6520,983,,1.3,0,0,
1637585213.790342,1637585213.797627,5,7.284879684448242,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6858,1329,12,5,6658,983,,1.5,0,0,
1637585214.828624,1637585214.839342,6,10.718107223510742,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6640,1329,10,5,6524,983,,1.3,0,0,
1637585215.863966,1637585215.871181,7,7.215023040771484,falcon512,100,drop,OLKUjcFgTW.pcap,6,6,6638,1404,10,6,6522,1016,,1.0,0,0,
1637585216.895207,1637585216.902147,8,6.940126419067383,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6639,1329,10,5,6523,983,,1.2,0,0,
1637585217.927783,1637585217.934467,9,6.684064865112305,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,1.0,0,0,
1637585218.958425,1637585218.968964,10,10.539054870605469,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6641,1329,10,5,6525,983,,2.5,0,0,
1637585220.005369,1637585220.023512,11,18.1429386138916,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,1.5,0,0,
1637585221.057399,1637585221.064051,12,6.651878356933594,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,1.5,0,0,
1637585222.088287,1637585222.096409,13,8.121967315673828,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6631,1329,10,5,6515,983,,0.8,0,0,
1637585223.118749,1637585223.126564,14,7.815122604370117,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6638,1329,10,5,6522,983,,1.0,0,0,
1637585224.146151,1637585224.15514,15,8.98885726928711,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6818,1329,12,5,6618,983,,1.2,0,0,
1637585225.180473,1637585225.188193,16,7.719993591308594,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6642,1329,10,5,6526,983,,0.8,0,0,
1637585226.211197,1637585226.219332,17,8.135080337524414,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,1.0,0,0,
1637585227.247213,1637585227.254566,18,7.353067398071289,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6861,1329,12,5,6661,983,,1.5,0,0,
1637585228.275605,1637585228.284232,19,8.626937866210938,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,0.8,0,0,
1637585229.304343,1637585229.328688,20,24.344921112060547,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6632,1329,10,5,6516,983,,5.7,0,0,
1637585230.360127,1637585230.367771,21,7.643938064575195,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,0.5,0,0,
1637585231.389716,1637585231.396217,22,6.501197814941406,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6865,1329,12,5,6665,983,,1.0,0,0,
1637585232.439123,1637585232.446391,23,7.268190383911133,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,1.3,0,0,
1637585233.472207,1637585233.47977,24,7.562875747680664,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6630,1329,10,5,6514,983,,1.0,0,0,
1637585234.511739,1637585234.520023,25,8.28409194946289,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6866,1329,12,5,6666,983,,1.0,0,0,
1637585235.550863,1637585235.55899,26,8.126974105834961,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6634,1329,10,5,6518,983,,1.7,0,0,
1637585236.599823,1637585236.606867,27,7.044076919555664,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6628,1329,10,5,6512,983,,2.0,0,0,
1637585237.655946,1637585237.664813,28,8.867025375366211,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6629,1329,10,5,6513,983,,2.2,0,0,
1637585238.687835,1637585238.695738,29,7.903099060058594,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6638,1329,10,5,6522,983,,0.5,0,0,
1637585239.747642,1637585239.755131,30,7.48896598815918,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6640,1329,10,5,6524,983,,3.8,0,0,
1637585240.786894,1637585240.793939,31,7.04503059387207,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6641,1329,10,5,6525,983,,1.5,0,0,
1637585241.839512,1637585241.846265,32,6.752967834472656,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6632,1329,10,5,6516,983,,3.2,0,0,
1637585242.87967,1637585242.886445,33,6.775140762329102,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6867,1329,12,5,6667,983,,1.0,0,0,
1637585243.916719,1637585243.923413,34,6.69407844543457,falcon512,100,drop,OLKUjcFgTW.pcap,6,6,6636,1404,10,6,6520,1016,,1.0,0,0,
1637585244.951778,1637585244.95887,35,7.091999053955078,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6859,1329,12,5,6659,983,,1.5,0,0,
1637585245.998359,1637585246.004766,36,6.407022476196289,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6861,1329,12,5,6661,983,,1.3,0,0,
1637585247.030953,1637585247.038506,37,7.5531005859375,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6641,1329,10,5,6525,983,,1.5,0,0,
1637585248.066479,1637585248.073071,38,6.592035293579102,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6631,1329,10,5,6515,983,,0.8,0,0,
1637585249.094505,1637585249.10156,39,7.055044174194336,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6636,1329,10,5,6520,983,,0.3,0,0,
1637585250.171745,1637585250.180321,40,8.575916290283203,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6871,1326,12,5,6668,983,,5.1,0,0,
1637585251.202423,1637585251.210567,41,8.143901824951172,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6630,1329,10,5,6514,983,,0.7,0,0,
1637585252.236202,1637585252.243264,42,7.061958312988281,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6633,1329,10,5,6517,983,,0.7,0,0,
1637585253.265858,1637585253.272638,43,6.780147552490234,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6634,1329,10,5,6518,983,,1.2,0,0,
1637585254.304012,1637585254.314329,44,10.316848754882812,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6645,1329,10,5,6529,983,,0.5,0,0,
1637585255.338678,1637585255.347173,45,8.495092391967773,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,1.2,0,0,
1637585256.376321,1637585256.384644,46,8.322954177856445,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6638,1329,10,5,6522,983,,0.5,0,0,
1637585257.405523,1637585257.412239,47,6.716012954711914,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6640,1329,10,5,6524,983,,0.8,0,0,
1637585258.44383,1637585258.450798,48,6.968021392822266,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6868,1326,12,5,6665,983,,1.8,0,0,
1637585259.473421,1637585259.482583,49,9.161949157714844,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6630,1329,10,5,6514,983,,1.3,0,0,
1637585260.517198,1637585260.534151,50,16.952991485595703,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6637,1329,10,5,6521,983,,3.6,0,0,
1637585261.563557,1637585261.571067,51,7.510185241699219,falcon512,100,drop,OLKUjcFgTW.pcap,8,5,6862,1326,12,5,6659,983,,0.8,0,0,
1637585262.622771,1637585262.630429,52,7.6580047607421875,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6640,1329,10,5,6524,983,,1.0,0,0,
1637585263.651703,1637585263.659358,53,7.655143737792969,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6633,1329,10,5,6517,983,,0.5,0,0,
1637585264.698246,1637585264.705549,54,7.302999496459961,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6641,1329,10,5,6525,983,,1.3,0,0,
1637585265.738611,1637585265.745909,55,7.297992706298828,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6628,1329,10,5,6512,983,,1.0,0,0,
1637585266.789563,1637585266.798191,56,8.628129959106445,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6636,1329,10,5,6520,983,,1.3,0,0,
1637585267.828089,1637585267.836257,57,8.16798210144043,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6634,1329,10,5,6518,983,,0.5,0,0,
1637585268.882386,1637585268.889988,58,7.60197639465332,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6635,1329,10,5,6519,983,,1.0,0,0,
1637585269.919334,1637585269.928223,59,8.888959884643555,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6627,1329,10,5,6511,983,,1.0,0,0,
1637585270.964614,1637585270.979682,60,15.06805419921875,falcon512,100,drop,OLKUjcFgTW.pcap,8,13,6859,2244,12,13,6659,1562,,5.6,0,0,
1637585272.056532,1637585272.064149,61,7.616996765136719,falcon512,100,drop,OLKUjcFgTW.pcap,9,6,6903,1403,12,6,6661,1015,,1.0,0,0,
1637585273.091851,1637585273.099268,62,7.416963577270508,falcon512,100,drop,OLKUjcFgTW.pcap,6,7,6642,1475,10,7,6526,1045,,1.3,0,0,
1637585274.134162,1637585274.142005,63,7.843017578125,falcon512,100,drop,OLKUjcFgTW.pcap,9,5,6904,1329,12,5,6662,983,,0.8,0,0,
1637585275.180469,1637585275.188018,64,7.549047470092773,falcon512,100,drop,OLKUjcFgTW.pcap,9,5,6910,1329,12,5,6668,983,,1.3,0,0,
1637585276.229987,1637585276.239471,65,9.484052658081055,falcon512,100,drop,OLKUjcFgTW.pcap,8,7,6859,1472,12,7,6656,1045,,2.5,0,0,
1637585277.271987,1637585277.279934,66,7.946968078613281,falcon512,100,drop,OLKUjcFgTW.pcap,9,6,6906,1403,12,6,6664,1015,,1.3,0,0,
1637585278.335509,1637585278.344675,67,9.16600227355957,falcon512,100,drop,OLKUjcFgTW.pcap,9,5,6952,1326,13,5,6707,983,,0.8,0,0,
1637585279.411958,1637585279.420074,68,8.116006851196289,falcon512,100,drop,OLKUjcFgTW.pcap,9,5,6903,1329,12,5,6661,983,,1.8,0,0,
1637585280.44264,1637585280.454991,69,12.351036071777344,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6694,1326,10,5,6575,983,,0.5,0,0,
1637585281.514748,1637585281.522076,70,7.327795028686523,falcon512,100,drop,OLKUjcFgTW.pcap,6,5,6681,1326,10,5,6562,983,,3.6,0,0,
1637585282.559938,1637585282.568774,71,8.836030960083008,falcon512,100,drop,OLKUjcFgTW.pcap,7,5,6723,1329,11,5,6565,983,,0.8,0,0,
