RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
503.1900405883789,526.108980178833,509.7689628601074,498.4118938446045,497.37095832824707,520.6680297851562,
521.4390754699707,533.3168506622314,490.86618423461914,489.1810417175293,520.8251476287842,514.8818492889404,
493.87407302856445,498.5949993133545,516.2160396575928,530.0629138946533,492.13099479675293,508.1140995025635,
517.4210071563721,531.6469669342041,512.6399993896484,491.2698268890381,497.47395515441895,491.52207374572754,
532.9270362854004,487.4088764190674,501.51991844177246,487.73694038391113,518.1310176849365,490.3409481048584,
500.5381107330322,492.9389953613281,494.92502212524414,539.8950576782227,502.6869773864746,488.2361888885498,
496.0339069366455,534.8231792449951,503.9651393890381,488.1131649017334,501.3270378112793,515.0470733642578,
522.5920677185059,520.2939510345459,493.5879707336426,528.6839008331299,491.19091033935547,514.0349864959717,
511.60407066345215,540.4088497161865,492.8910732269287,534.4440937042236,489.75419998168945,513.6129856109619,
500.0429153442383,499.12118911743164,492.51604080200195,498.3060359954834,513.5419368743896,484.8599433898926,
512.3481750488281,521.9089984893799,503.5288333892822,486.85383796691895,514.484167098999,506.5741539001465,
510.4091167449951,546.281099319458,509.74297523498535,488.6131286621094,497.9588985443115,488.2528781890869,
519.5949077606201,529.3428897857666,512.1300220489502,485.8870506286621,509.8249912261963,511.40499114990234,
513.355016708374,515.6600475311279,514.0810012817383,510.20288467407227,498.8210201263428,499.7529983520508,
502.64811515808105,534.7559452056885,526.2050628662109,487.6739978790283,492.12002754211426,482.90300369262695,
504.99916076660156,533.7018966674805,495.36705017089844,489.6731376647949,514.7368907928467,512.9470825195312,
492.39301681518555,494.9371814727783,526.6668796539307,504.3060779571533,508.3301067352295,510.76602935791016,
498.99792671203613,525.4299640655518,513.6780738830566,511.02209091186523,510.3120803833008,520.5628871917725,
513.4198665618896,509.25493240356445,491.6260242462158,490.71717262268066,496.8559741973877,515.0179862976074,
512.3300552368164,508.4409713745117,492.53296852111816,516.3719654083252,523.3461856842041,486.81092262268066,
