Timestamp,Timestamp (Seconds),CPU %,CPU Frequency,Virtual Memory %,Virtual Memory,Swap Memory %,Swap Memory,Disk Usage %,Disk Usage,
2021-11-22 11:37:33.948873,1637581053.948873,0.0,0,7.9,954089472,0.0,0,23.2,46248787968,
2021-11-22 11:37:34.450330,1637581054.45033,9.4,0,7.9,954015744,0.0,0,23.2,46248787968,
2021-11-22 11:37:34.952044,1637581054.952044,4.5,0,7.9,954015744,0.0,0,23.2,46248787968,
2021-11-22 11:37:35.455386,1637581055.455386,5.0,0,7.9,954290176,0.0,0,23.2,46248787968,
2021-11-22 11:37:35.957498,1637581055.957498,0.3,0,7.9,954290176,0.0,0,23.2,46248787968,
2021-11-22 11:37:36.461435,1637581056.461435,1.3,0,7.9,954273792,0.0,0,23.2,46248787968,
2021-11-22 11:37:36.963993,1637581056.963993,9.3,0,8.0,967958528,0.0,0,23.2,46248787968,
2021-11-22 11:37:37.465517,1637581057.465517,2.3,0,8.0,968204288,0.0,0,23.2,46248787968,
2021-11-22 11:37:37.967677,1637581057.967677,0.0,0,8.0,968204288,0.0,0,23.2,46248787968,
2021-11-22 11:37:38.470696,1637581058.470696,2.0,0,8.0,968204288,0.0,0,23.2,46248792064,
2021-11-22 11:37:38.973482,1637581058.973482,4.1,0,8.0,968204288,0.0,0,23.2,46248792064,
2021-11-22 11:37:39.476131,1637581059.476131,3.1,0,8.0,968204288,0.0,0,23.2,46248792064,
2021-11-22 11:37:39.978834,1637581059.978834,4.3,0,8.0,968245248,0.0,0,23.2,46248792064,
2021-11-22 11:37:40.479561,1637581060.479561,7.3,0,8.0,975802368,0.0,0,23.2,46248792064,
2021-11-22 11:37:40.980442,1637581060.980442,3.3,0,8.0,975802368,0.0,0,23.2,46248792064,
2021-11-22 11:37:41.482036,1637581061.482036,6.4,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:41.983510,1637581061.98351,0.0,0,8.0,977375232,0.0,0,23.2,46248792064,
2021-11-22 11:37:42.488086,1637581062.488086,0.5,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:42.993935,1637581062.993935,0.2,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:43.498417,1637581063.498417,0.0,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:44.005087,1637581064.005087,0.0,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:44.509288,1637581064.509288,0.0,0,8.0,977383424,0.0,0,23.2,46248792064,
2021-11-22 11:37:45.011468,1637581065.011468,0.2,0,8.0,977375232,0.0,0,23.2,46248792064,
2021-11-22 11:37:45.515064,1637581065.515064,0.0,0,8.0,977375232,0.0,0,23.2,46248792064,
2021-11-22 11:37:46.021791,1637581066.021791,0.0,0,8.0,977375232,0.0,0,23.2,46248792064,
2021-11-22 11:37:46.523612,1637581066.523612,4.6,0,8.0,978841600,0.0,0,23.2,46248792064,
2021-11-22 11:37:47.026473,1637581067.026473,30.5,0,8.0,978313216,0.0,0,23.2,46248796160,
2021-11-22 11:37:47.529870,1637581067.52987,0.5,0,8.0,978014208,0.0,0,23.2,46248796160,
2021-11-22 11:37:48.036654,1637581068.036654,6.1,0,8.0,978247680,0.0,0,23.2,46248796160,
2021-11-22 11:37:48.543116,1637581068.543116,42.0,0,8.0,977747968,0.0,0,23.2,46248796160,
2021-11-22 11:37:49.049318,1637581069.049318,0.5,0,8.0,977498112,0.0,0,23.2,46248796160,
2021-11-22 11:37:49.556511,1637581069.556511,7.9,0,8.0,978804736,0.0,0,23.2,46248796160,
2021-11-22 11:37:50.058212,1637581070.058212,42.3,0,8.0,978538496,0.0,0,23.2,46248800256,
2021-11-22 11:37:50.560710,1637581070.56071,0.0,0,8.0,978259968,0.0,0,23.2,46248800256,
2021-11-22 11:37:51.063264,1637581071.063264,2.5,0,8.0,978268160,0.0,0,23.2,46248800256,
2021-11-22 11:37:51.568887,1637581071.568887,45.2,0,8.0,977252352,0.0,0,23.2,46248800256,
2021-11-22 11:37:52.070328,1637581072.070328,8.5,0,8.0,976748544,0.0,0,23.2,46248804352,
2021-11-22 11:37:52.576957,1637581072.576957,11.0,0,8.0,977530880,0.0,0,23.2,46248804352,
2021-11-22 11:37:53.083102,1637581073.083102,45.5,0,8.0,978591744,0.0,0,23.2,46248812544,
2021-11-22 11:37:53.602797,1637581073.602797,34.5,0,8.0,978239488,0.0,0,23.2,46248837120,
2021-11-22 11:37:54.108059,1637581074.108059,12.5,0,8.0,974098432,0.0,0,23.2,46248837120,
2021-11-22 11:37:54.610929,1637581074.610929,33.7,0,8.0,975892480,0.0,0,23.2,46248837120,
2021-11-22 11:37:55.113017,1637581075.113017,19.2,0,8.0,975863808,0.0,0,23.2,46248841216,
2021-11-22 11:37:55.614411,1637581075.614411,0.0,0,8.0,975863808,0.0,0,23.2,46248841216,
2021-11-22 11:37:56.119995,1637581076.119995,24.9,0,8.0,976392192,0.0,0,23.2,46248841216,
2021-11-22 11:37:56.622596,1637581076.622596,24.0,0,8.0,975601664,0.0,0,23.2,46248841216,
2021-11-22 11:37:57.133529,1637581077.133529,0.2,0,8.0,975597568,0.0,0,23.2,46248845312,
2021-11-22 11:37:57.640539,1637581077.640539,19.7,0,8.0,976392192,0.0,0,23.2,46248845312,
2021-11-22 11:37:58.141313,1637581078.141313,6.3,0,8.0,975859712,0.0,0,23.2,46248849408,
2021-11-22 11:37:58.642717,1637581078.642717,0.0,0,8.0,975847424,0.0,0,23.2,46248849408,
2021-11-22 11:37:59.149234,1637581079.149234,42.6,0,8.0,977166336,0.0,0,23.2,46248853504,
2021-11-22 11:37:59.653313,1637581079.653313,18.5,0,8.0,976891904,0.0,0,23.2,46248853504,
