Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628783181.458938,1628783181.470815,0,11.877059936523438,0,7,5,8851,1329,11,5,8693,983,
1628783182.52363,1628783182.535462,1,11.831998825073242,0,9,5,9072,1326,13,5,8827,983,
1628783183.579182,1628783183.590673,2,11.491060256958008,0,7,5,8854,1329,11,5,8696,983,
1628783184.636296,1628783184.649691,3,13.395071029663086,0,7,5,8853,1329,11,5,8695,983,
1628783185.684439,1628783185.697778,4,13.339042663574219,0,9,5,9032,1329,13,5,8790,983,
1628783186.762281,1628783186.778031,5,15.75016975402832,0,9,5,9033,1329,13,5,8791,983,
1628783187.805368,1628783187.818541,6,13.173103332519531,0,7,5,8846,1329,11,5,8688,983,
1628783188.844203,1628783188.856274,7,12.070894241333008,0,7,7,8850,1475,11,7,8692,1045,
1628783189.88089,1628783189.894126,8,13.236045837402344,0,7,5,8853,1329,11,5,8695,983,
1628783190.91782,1628783190.930183,9,12.362957000732422,0,7,5,8846,1329,11,5,8688,983,
1628783191.962159,1628783191.974594,10,12.435197830200195,0,11,5,9256,1329,15,5,8930,983,
1628783193.001052,1628783193.014752,11,13.700008392333984,0,9,5,9035,1329,13,5,8793,983,
1628783194.041223,1628783194.054007,12,12.784004211425781,0,11,5,9269,1329,15,5,8943,983,
1628783195.075749,1628783195.087357,13,11.608123779296875,0,9,5,9084,1326,13,5,8839,983,
1628783196.127243,1628783196.138617,14,11.37399673461914,0,7,5,8853,1329,11,5,8695,983,
1628783197.178806,1628783197.191214,15,12.408018112182617,0,7,5,8855,1329,11,5,8697,983,
1628783198.222145,1628783198.234086,16,11.940956115722656,0,7,5,8849,1329,11,5,8691,983,
1628783199.257588,1628783199.269644,17,12.056112289428711,0,7,5,8851,1329,11,5,8693,983,
1628783200.302941,1628783200.317856,18,14.914989471435547,0,7,5,8857,1329,11,5,8699,983,
1628783201.344044,1628783201.356954,19,12.910127639770508,0,9,5,9080,1326,13,5,8835,983,
1628783202.381161,1628783202.39362,20,12.459039688110352,0,7,5,8840,1329,11,5,8682,983,
1628783203.423181,1628783203.434537,21,11.355876922607422,0,7,5,8847,1329,11,5,8689,983,
1628783204.467198,1628783204.478654,22,11.456012725830078,0,7,5,8858,1329,11,5,8700,983,
1628783205.513284,1628783205.525175,23,11.89112663269043,0,7,5,8846,1329,11,5,8688,983,
1628783206.553366,1628783206.566132,24,12.766122817993164,0,7,5,8853,1329,11,5,8695,983,
1628783207.602996,1628783207.614866,25,11.86990737915039,0,7,5,8847,1329,11,5,8689,983,
1628783208.639596,1628783208.65448,26,14.883995056152344,0,9,5,9081,1326,13,5,8836,983,
1628783209.688086,1628783209.70053,27,12.444019317626953,0,9,5,9081,1326,13,5,8836,983,
1628783210.727301,1628783210.739496,28,12.195110321044922,0,7,5,8851,1329,11,5,8693,983,
1628783211.768159,1628783211.78106,29,12.901067733764648,0,7,5,8853,1329,11,5,8695,983,
1628783212.814321,1628783212.826324,30,12.002944946289062,0,7,5,8847,1329,11,5,8689,983,
1628783213.85091,1628783213.862725,31,11.815071105957031,0,7,5,8850,1329,11,5,8692,983,
1628783214.899221,1628783214.910581,32,11.36016845703125,0,7,5,8844,1329,11,5,8686,983,
1628783215.93721,1628783215.950717,33,13.506889343261719,0,7,5,8840,1329,11,5,8682,983,
1628783216.990728,1628783217.002999,34,12.27116584777832,0,7,5,8854,1329,11,5,8696,983,
1628783218.029879,1628783218.04202,35,12.140989303588867,0,7,5,8855,1329,11,5,8697,983,
1628783219.070106,1628783219.084591,36,14.484882354736328,0,7,5,8847,1329,11,5,8689,983,
1628783220.118488,1628783220.130155,37,11.667013168334961,0,7,5,8839,1329,11,5,8681,983,
1628783221.155587,1628783221.167178,38,11.590957641601562,0,9,5,9070,1326,13,5,8825,983,
1628783222.197399,1628783222.210982,39,13.583183288574219,0,9,5,9079,1326,13,5,8834,983,
1628783223.242032,1628783223.255041,40,13.008832931518555,0,7,5,8847,1329,11,5,8689,983,
1628783224.282764,1628783224.302305,41,19.541025161743164,0,7,5,8853,1329,11,5,8695,983,
1628783225.325739,1628783225.339163,42,13.424158096313477,0,7,5,8856,1329,11,5,8698,983,
1628783226.369182,1628783226.381358,43,12.175798416137695,0,7,5,8892,1326,11,5,8731,983,
1628783227.417778,1628783227.429412,44,11.633872985839844,0,7,5,8842,1329,11,5,8684,983,
1628783228.456092,1628783228.468277,45,12.185096740722656,0,9,5,9086,1329,13,5,8844,983,
1628783229.506649,1628783229.518137,46,11.487960815429688,0,7,5,8849,1329,11,5,8691,983,
1628783230.557447,1628783230.571125,47,13.67807388305664,0,9,5,9085,1327,13,5,8841,983,
1628783231.609944,1628783231.622646,48,12.701988220214844,0,7,5,8852,1329,11,5,8694,983,
1628783232.658542,1628783232.670023,49,11.481046676635742,0,7,5,8847,1329,11,5,8689,983,
1628783233.722895,1628783233.73425,50,11.355161666870117,0,7,5,8841,1329,11,5,8683,983,
1628783234.774519,1628783234.787346,51,12.826919555664062,0,7,5,8850,1329,11,5,8692,983,
1628783235.817156,1628783235.83068,52,13.52381706237793,0,11,5,9204,1329,15,5,8878,983,
1628783236.88458,1628783236.898039,53,13.459205627441406,0,9,5,9080,1326,13,5,8835,983,
1628783237.925593,1628783237.939144,54,13.550996780395508,0,7,5,8850,1329,11,5,8692,983,
1628783238.967909,1628783238.981223,55,13.314008712768555,0,9,5,9081,1329,13,5,8839,983,
1628783240.010117,1628783240.022826,56,12.708902359008789,0,9,5,9027,1329,13,5,8785,983,
1628783241.047198,1628783241.058931,57,11.733055114746094,0,7,5,8853,1329,11,5,8695,983,
1628783242.088618,1628783242.102059,58,13.440847396850586,0,7,5,8861,1329,11,5,8703,983,
1628783243.137986,1628783243.150439,59,12.453079223632812,0,7,5,8852,1329,11,5,8694,983,
1628783244.172056,1628783244.186639,60,14.583110809326172,0,9,5,9083,1326,13,5,8838,983,
1628783245.22331,1628783245.234783,61,11.472940444946289,0,7,5,8842,1329,11,5,8684,983,
1628783246.271649,1628783246.282988,62,11.339187622070312,0,9,5,9073,1326,13,5,8828,983,
1628783247.319773,1628783247.333519,63,13.746023178100586,0,9,5,9075,1329,13,5,8833,983,
1628783248.366641,1628783248.377844,64,11.20305061340332,0,9,5,9075,1329,13,5,8833,983,
1628783249.406721,1628783249.419158,65,12.436866760253906,0,7,5,8852,1329,11,5,8694,983,
1628783250.445203,1628783250.458686,66,13.483047485351562,0,11,5,9203,1329,15,5,8877,983,
1628783251.483485,1628783251.4982,67,14.714956283569336,0,9,5,9073,1329,13,5,8831,983,
1628783252.535537,1628783252.548362,68,12.82501220703125,0,7,5,8852,1329,11,5,8694,983,
1628783253.58297,1628783253.595166,69,12.196063995361328,0,7,5,8854,1329,11,5,8696,983,
1628783254.626769,1628783254.639436,70,12.666940689086914,0,10,5,9118,1329,13,5,8834,983,
1628783255.659519,1628783255.673443,71,13.924121856689453,0,12,5,9357,1329,16,5,8989,983,
1628783256.698912,1628783256.712682,72,13.770103454589844,0,11,5,9257,1327,15,5,8929,983,
1628783257.734079,1628783257.746973,73,12.894153594970703,0,10,5,9120,1329,14,5,8836,983,
1628783258.774964,1628783258.788456,74,13.49186897277832,0,7,5,8853,1329,11,5,8695,983,
1628783259.820659,1628783259.833056,75,12.397050857543945,0,9,5,9080,1326,13,5,8835,983,
1628783260.85811,1628783260.871306,76,13.195991516113281,0,12,5,9297,1329,15,5,8929,983,
1628783261.893986,1628783261.906452,77,12.465953826904297,0,10,5,9123,1329,14,5,8839,983,
1628783262.927843,1628783262.940919,78,13.075828552246094,0,10,5,9122,1329,13,5,8838,983,
1628783263.970863,1628783263.986214,79,15.350818634033203,0,9,5,9084,1329,13,5,8842,983,
1628783265.030549,1628783265.042986,80,12.436866760253906,0,7,5,8857,1329,11,5,8699,983,
1628783266.074072,1628783266.088936,81,14.864206314086914,0,9,5,9024,1329,13,5,8782,983,
1628783267.114326,1628783267.129518,82,15.192031860351562,0,9,6,9028,1403,13,6,8786,1015,
1628783268.16414,1628783268.177383,83,13.242959976196289,0,8,5,8936,1329,11,5,8736,983,
1628783269.211921,1628783269.224438,84,12.516975402832031,0,10,5,9122,1329,13,5,8838,983,
1628783270.257375,1628783270.27043,85,13.055086135864258,0,11,5,9206,1329,14,5,8880,983,
1628783271.302392,1628783271.317987,86,15.594959259033203,0,9,5,9020,1329,13,5,8778,983,
1628783272.355822,1628783272.370059,87,14.236927032470703,0,11,5,9198,1329,14,5,8872,983,
1628783273.400527,1628783273.412906,88,12.378931045532227,0,11,5,9260,1329,15,5,8934,983,
1628783274.453794,1628783274.467096,89,13.302087783813477,0,10,5,9125,1329,13,5,8841,983,
1628783275.492702,1628783275.509277,90,16.575098037719727,0,10,5,9119,1329,13,5,8835,983,
1628783276.544232,1628783276.556437,91,12.205123901367188,0,9,5,9079,1329,13,5,8837,983,
1628783277.581246,1628783277.594458,92,13.212203979492188,0,11,5,9204,1329,15,5,8878,983,
1628783278.612844,1628783278.626038,93,13.194084167480469,0,9,7,9075,1472,13,7,8830,1045,
1628783279.650066,1628783279.66314,94,13.074159622192383,0,12,5,9294,1329,15,5,8926,983,
1628783280.68976,1628783280.70229,95,12.530088424682617,0,10,5,9122,1329,13,5,8838,983,
1628783281.727541,1628783281.74334,96,15.79904556274414,0,10,5,9121,1329,14,5,8837,983,
1628783282.785458,1628783282.799129,97,13.670921325683594,0,11,5,9211,1329,15,5,8885,983,
1628783283.828808,1628783283.845602,98,16.79396629333496,0,7,5,8897,1326,11,5,8736,983,
1628783284.872647,1628783284.885082,99,12.434959411621094,0,10,5,9125,1329,13,5,8841,983,
1628783285.904298,1628783285.916208,100,11.909961700439453,5,8,5,8934,1329,11,5,8734,983,
1628783286.947368,1628783286.962406,101,15.038013458251953,5,8,5,8945,1329,11,5,8745,983,
1628783288.001763,1628783288.015081,102,13.31782341003418,5,10,5,9119,1329,13,5,8835,983,
1628783289.037615,1628783289.051354,103,13.738870620727539,5,12,5,9297,1329,15,5,8929,983,
1628783290.081903,1628783290.096792,104,14.889001846313477,5,9,5,9030,1329,13,5,8788,983,
1628783291.121421,1628783291.135349,105,13.927936553955078,5,10,5,9120,1329,13,5,8836,983,
1628783292.158936,1628783292.171107,106,12.171030044555664,5,10,5,9112,1329,13,5,8828,983,
1628783293.197653,1628783293.210924,107,13.270854949951172,5,9,5,9032,1329,13,5,8790,983,
1628783294.2381,1628783294.250992,108,12.892007827758789,5,12,5,9285,1329,15,5,8917,983,
1628783295.277445,1628783295.29112,109,13.67497444152832,5,10,5,9119,1329,13,5,8835,983,
1628783296.316937,1628783296.334009,110,17.071962356567383,5,10,6,9121,1404,13,6,8837,1016,
1628783297.360652,1628783297.375217,111,14.564990997314453,5,10,5,9121,1329,13,5,8837,983,
