Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628781092.849274,1628781092.858998,0,9.724140167236328,0,16,5,17169,1329,20,5,16633,983,
1628781093.887548,1628781093.8925,1,4.951953887939453,0,16,5,17108,1329,20,5,16572,983,
1628781094.930383,1628781094.937506,2,7.122993469238281,0,16,7,17116,1475,20,7,16580,1045,
1628781095.986311,1628781095.99123,3,4.9190521240234375,0,18,5,17287,1329,22,5,16667,983,
1628781097.019745,1628781097.027258,4,7.512807846069336,0,16,5,17110,1329,20,5,16574,983,
1628781098.06535,1628781098.072731,5,7.380962371826172,0,18,5,17294,1329,22,5,16674,983,
1628781099.092555,1628781099.099351,6,6.7958831787109375,0,18,5,17294,1329,22,5,16674,983,
1628781100.126853,1628781100.131555,7,4.702091217041016,0,16,5,17119,1329,20,5,16583,983,
1628781101.177266,1628781101.182303,8,5.037069320678711,0,16,5,17160,1326,20,5,16621,983,
1628781102.20342,1628781102.209389,9,5.969047546386719,0,18,5,17287,1329,22,5,16667,983,
1628781103.245103,1628781103.251594,10,6.491184234619141,0,18,5,17296,1329,22,5,16676,983,
1628781104.293454,1628781104.300089,11,6.634950637817383,0,16,5,17117,1329,20,5,16581,983,
1628781105.330593,1628781105.335582,12,4.988908767700195,0,16,5,17110,1329,20,5,16574,983,
1628781106.361636,1628781106.366975,13,5.339145660400391,0,16,5,17108,1329,20,5,16572,983,
1628781107.391751,1628781107.398036,14,6.284952163696289,0,18,5,17345,1329,22,5,16725,983,
1628781108.425655,1628781108.43267,15,7.015228271484375,0,18,5,17292,1329,22,5,16672,983,
1628781109.456466,1628781109.461097,16,4.63104248046875,0,14,5,16941,1329,18,5,16489,983,
1628781110.508281,1628781110.513672,17,5.391120910644531,0,16,5,17115,1329,20,5,16579,983,
1628781111.545287,1628781111.554792,18,9.505033493041992,0,18,5,17292,1329,22,5,16672,983,
1628781112.597219,1628781112.601121,19,3.901958465576172,0,16,5,17159,1329,20,5,16623,983,
1628781113.635519,1628781113.640882,20,5.362987518310547,0,18,5,17336,1329,22,5,16716,983,
1628781114.690859,1628781114.697727,21,6.867885589599609,0,18,5,17299,1329,22,5,16679,983,
1628781115.726981,1628781115.731152,22,4.171133041381836,0,16,5,17118,1329,20,5,16582,983,
1628781116.76873,1628781116.77721,23,8.480072021484375,0,16,5,17120,1329,20,5,16584,983,
1628781117.828267,1628781117.832809,24,4.541873931884766,0,16,5,17166,1329,20,5,16630,983,
1628781118.857849,1628781118.862949,25,5.100011825561523,0,18,5,17296,1329,22,5,16676,983,
1628781119.894652,1628781119.901411,26,6.759166717529297,0,16,5,17110,1329,20,5,16574,983,
1628781120.930396,1628781120.935329,27,4.932880401611328,0,16,7,17110,1475,20,7,16574,1045,
1628781121.986666,1628781121.992662,28,5.995988845825195,0,16,5,17113,1329,20,5,16577,983,
1628781123.015951,1628781123.022299,29,6.348133087158203,0,20,5,17521,1329,24,5,16817,983,
1628781124.061511,1628781124.068497,30,6.985902786254883,0,16,5,17109,1331,20,5,16575,983,
1628781125.094904,1628781125.102068,31,7.16400146484375,0,16,5,17120,1329,20,5,16584,983,
1628781126.147476,1628781126.15401,32,6.534099578857422,0,16,5,17120,1329,20,5,16584,983,
1628781127.181717,1628781127.188687,33,6.97016716003418,0,18,5,17291,1329,22,5,16671,983,
1628781128.239528,1628781128.24476,34,5.232095718383789,0,18,5,17348,1326,22,5,16725,983,
1628781129.296972,1628781129.302353,35,5.380868911743164,0,16,5,17168,1326,20,5,16629,983,
1628781130.329587,1628781130.33438,36,4.792928695678711,0,16,5,17116,1329,20,5,16580,983,
1628781131.358555,1628781131.365636,37,7.081031799316406,0,18,5,17293,1329,22,5,16673,983,
1628781132.426316,1628781132.430863,38,4.546880722045898,0,16,5,17119,1329,20,5,16583,983,
1628781133.458785,1628781133.465721,39,6.935834884643555,0,14,5,16938,1329,18,5,16486,983,
1628781134.492414,1628781134.49699,40,4.575967788696289,0,16,5,17161,1329,20,5,16625,983,
1628781135.520401,1628781135.525456,41,5.054950714111328,0,16,5,17160,1329,20,5,16624,983,
1628781136.552942,1628781136.557979,42,5.037069320678711,0,14,7,16930,1475,18,7,16478,1045,
1628781137.588682,1628781137.597129,43,8.44717025756836,0,20,5,17467,1329,24,5,16763,983,
1628781138.619369,1628781138.623309,44,3.9398670196533203,0,18,5,17342,1329,22,5,16722,983,
1628781139.653616,1628781139.658509,45,4.893064498901367,0,16,5,17113,1329,20,5,16577,983,
1628781140.693257,1628781140.701558,46,8.301019668579102,0,18,5,17288,1329,22,5,16668,983,
1628781141.731219,1628781141.737868,47,6.649017333984375,0,16,5,17114,1329,20,5,16578,983,
1628781142.765706,1628781142.770463,48,4.756927490234375,0,16,5,17117,1329,20,5,16581,983,
1628781143.795464,1628781143.802257,49,6.793022155761719,0,18,5,17288,1329,22,5,16668,983,
1628781144.827618,1628781144.833298,50,5.680084228515625,0,18,5,17345,1329,22,5,16725,983,
1628781145.865007,1628781145.870737,51,5.730152130126953,0,16,5,17118,1329,20,5,16582,983,
