FILE NAME,Start timestamp (s) (AVERAGED),(± CI) Start timestamp (s),End timestamp (s) (AVERAGED),(± CI) End timestamp (s),Handshake number (AVERAGED),(± CI) Handshake number,Handshake duration (ms) (AVERAGED),(± CI) Handshake duration (ms),Algorithm (AVERAGED),(± CI) Algorithm,Num Samples (AVERAGED),(± CI) Num Samples,Experiment Type (AVERAGED),(± CI) Experiment Type,Type Value (AVERAGED),(± CI) Type Value,Number of handshake packets (AVERAGED),(± CI) Number of handshake packets,Number of payload packets (AVERAGED),(± CI) Number of payload packets,Number of handshake bytes (AVERAGED),(± CI) Number of handshake bytes,Number of payload bytes (AVERAGED),(± CI) Number of payload bytes,Number of long headers (AVERAGED),(± CI) Number of long headers,Number of short headers (AVERAGED),(± CI) Number of short headers,Bytes for long headers (AVERAGED),(± CI) Bytes for long headers,Bytes for short headers (AVERAGED),(± CI) Bytes for short headers, (AVERAGED),(± CI) 
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium5_numSamples_1000_delay_0ms_ywbkqlpbNC_parsed_handshake.csv,1638490178.0767105,27.089492429658975,1638490178.0879529,27.089473372077013,499.0,17.913666502568915,11.24337748125628,0.39062398730676595,dilithium5,,1000.0,0.0,delay,,0ms,,11.248248248248249,0.12712924759348884,4.598598598598598,0.030448585854214397,13510.983983983984,8.48616597414963,303.5075075075075,2.0096066663781507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium5_numSamples_1000_delay_100ms_htUhqnpfTG_parsed_handshake.csv,1638493281.6018548,27.634692403487804,1638493281.8320105,27.634705018297762,499.0,17.913666502568915,230.15507969173703,0.4883495688428791,dilithium5,,1000.0,0.0,delay,,100ms,,15.871871871871871,0.035787725020688554,4.603603603603603,0.030384395322732658,13815.543543543543,2.3619898513654456,303.8378378378378,2.005370091300355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium5_numSamples_1000_delay_200ms_nVbzLISMWS_parsed_handshake.csv,1638494824.3616107,27.164426412110583,1638494824.7867258,27.16445854395756,499.0,17.913666502568915,425.1161662188617,0.4816352216546579,dilithium5,,1000.0,0.0,delay,,200ms,,15.91991991991992,0.031048727800785828,4.664664664664665,0.029325862372683864,13818.714714714715,2.0492160348518644,307.86786786786786,1.9355069165971353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium5_numSamples_1000_delay_400ms_FEdiGaBXfc_parsed_handshake.csv,1638496348.1976285,26.966089759819912,1638496349.0153248,26.9661016232577,498.5,17.904729234534965,817.6958678002826,3.7586414626401945,dilithium5,,1000.0,0.0,delay,,400ms,,17.71943887775551,0.08228348382960883,3.314629258517034,0.09387803398725442,13767.686372745491,98.63078998961295,414.2124248496994,117.06661846579475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium5_numSamples_1000_delay_50ms_PkWprfkSfM_parsed_handshake.csv,1638491722.2057354,27.75312519726643,1638491722.3366709,27.753153608039653,499.0,17.913666502568915,130.93452506117873,0.5317534869174282,dilithium5,,1000.0,0.0,delay,,50ms,,15.91091091091091,0.029874447468189267,4.618618618618618,0.030171789858193628,13818.12012012012,1.9717135329004913,304.8288288288288,1.9913381306407798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon1024_numSamples_1000_delay_0ms_jLyrVGEJyw_parsed_handshake.csv,1638505581.917448,27.19036030697449,1638505581.9383538,27.190355754955014,499.0,17.913666502568915,20.906064364764546,0.6397281017341835,falcon1024,,1000.0,0.0,delay,,0ms,,8.62862862862863,0.05794183610331147,4.5525525525525525,0.03363986361146295,5875.196196196196,3.9216335330101972,304.2352352352352,3.77795265435652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon1024_numSamples_1000_delay_100ms_vEscTqxqJW_parsed_handshake.csv,1638508682.8350117,27.71355147727163,1638508683.074495,27.71362540304905,498.5,17.904729234534965,239.4813597799542,2.7484241384842094,falcon1024,,1000.0,0.0,delay,,100ms,,10.027054108216433,0.03099734562933089,4.573146292585171,0.030739749930240715,5972.35370741483,12.379336331249117,301.82765531062125,2.0288234953958875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon1024_numSamples_1000_delay_200ms_JZcYynAufv_parsed_handshake.csv,1638510227.1750522,27.228444777740574,1638510227.6078236,27.22843249888961,499.0,17.913666502568915,432.77171829918603,0.4803795476639842,falcon1024,,1000.0,0.0,delay,,200ms,,10.01001001001001,0.008767030933347854,4.597597597597598,0.030461026958494338,5966.016016016016,0.6197178258621109,303.44144144144144,2.010427779260626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon1024_numSamples_1000_delay_400ms_EbgOpizcSf_parsed_handshake.csv,1638511754.9874732,27.076513634057676,1638511755.8089566,27.076506055533056,499.0,17.913666502568915,821.4862714181314,1.6499532392534806,falcon1024,,1000.0,0.0,delay,,400ms,,11.7987987987988,0.03208657845074469,3.2512512512512513,0.04971590419448646,6066.691691691692,17.83670886246741,233.6936936936937,21.187563934894307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon1024_numSamples_1000_delay_50ms_dGTdyrQIaF_parsed_handshake.csv,1638507124.3371818,27.630125505821567,1638507124.4760385,27.630115767581177,499.0,17.913666502568915,138.85663579534125,0.48941049439218787,falcon1024,,1000.0,0.0,delay,,50ms,,10.002002002002001,0.0039286163087414085,4.566566566566567,0.030781977234399165,5965.459459459459,0.3216487749380855,301.3933933933934,2.031610497470344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon512_numSamples_1000_delay_0ms_nzKKDrPVnP_parsed_handshake.csv,1638497878.558225,27.125101596097828,1638497878.5721242,27.125107463654775,499.0,17.913666502568915,13.899504124103963,0.33778055606509866,falcon512,,1000.0,0.0,delay,,0ms,,8.0,0.0,4.538538538538538,0.031090538925170323,3707.3793793793793,0.134521550846972,300.6936936936937,3.1875899399888192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon512_numSamples_1000_delay_100ms_DNSMhhfUnB_parsed_handshake.csv,1638500977.7492719,27.497794240216123,1638500977.9800806,27.497786970878813,499.0,17.913666502568915,230.80966685030674,0.41945522471038077,falcon512,,1000.0,0.0,delay,,100ms,,8.04004004004004,0.017401259688341872,4.576576576576577,0.030692041324817426,3709.942942942943,1.1548156102927571,302.05405405405406,2.0256747274379503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon512_numSamples_1000_delay_200ms_cokmjyonCc_parsed_handshake.csv,1638502516.2546673,27.20555482042166,1638502516.6813247,27.20556054429705,499.0,17.913666502568915,426.65631778247365,0.4312619987811791,falcon512,,1000.0,0.0,delay,,200ms,,8.018018018018019,0.011738516008372633,4.604604604604605,0.03037115903971076,3708.4364364364365,0.7828567908682683,303.9039039039039,2.00449649662091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon512_numSamples_1000_delay_400ms_gVEVfIVgtl_parsed_handshake.csv,1638504047.9497106,27.027003484297865,1638504048.7799733,27.028044727661754,499.0,17.913666502568915,830.2649315651711,8.396044986766032,falcon512,,1000.0,0.0,delay,,400ms,,10.53053053053053,0.11338932552580462,2.6826826826826826,0.16471457572009024,3664.2812812812813,50.24120717188639,607.3483483483484,85.19133826414789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_falcon512_numSamples_1000_delay_50ms_MBLEecTXoe_parsed_handshake.csv,1638499421.9471872,27.7035930434519,1638499422.078912,27.703588182896915,499.0,17.913666502568915,131.7236347122116,0.44815009239661774,falcon512,,1000.0,0.0,delay,,50ms,,8.026026026026026,0.014079410718454675,4.5525525525525525,0.03088642544288061,3709.008008008008,0.9350741676197989,300.4684684684685,2.0385040792301203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_rsa_numSamples_1000_delay_0ms_gZTPNxNwHF_parsed_handshake.csv,1638467124.7073834,27.007356919854807,1638467124.7221324,27.007357971576106,499.0,17.913666502568915,14.748769002156454,0.3533726669606476,rsa,,1000.0,0.0,delay,,0ms,,8.002002002002001,0.003928616308741409,4.544544544544545,0.030934955602121197,3064.6356356356355,1.247335678025397,299.93993993993996,2.041707069739999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_rsa_numSamples_1000_delay_100ms_LLESnLziNV_parsed_handshake.csv,1638470201.745573,27.44212188189352,1638470201.9788013,27.442121096051732,499.0,17.913666502568915,233.2252250896679,0.4274873018519246,rsa,,1000.0,0.0,delay,,100ms,,8.032032032032031,0.015595923447418657,4.568568568568568,0.0307650164623419,3066.1141141141143,1.0293309475296308,301.52552552552555,2.030491086514566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_rsa_numSamples_1000_delay_200ms_beqWPXQHfJ_parsed_handshake.csv,1638471740.6898189,27.217482732116295,1638471741.1189187,27.217508178352052,499.0,17.913666502568915,429.0991378379417,0.47764261435097405,rsa,,1000.0,0.0,delay,,200ms,,8.022022022022021,0.012964302601873031,4.60960960960961,0.0303029771752189,3065.4534534534537,0.85564397172362,304.23423423423424,1.9999964935644468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_rsa_numSamples_1000_delay_400ms_IuRTsVNjii_parsed_handshake.csv,1638473266.9944105,26.928290912555134,1638473267.8273633,26.928945406016304,499.0,17.913666502568915,832.9571274307755,7.605511949883095,rsa,,1000.0,0.0,delay,,400ms,,10.263263263263264,0.09915987541895592,3.023023023023023,0.17108734009396687,3085.5315315315315,32.34845290312418,392.1981981981982,59.96180546393186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_rsa_numSamples_1000_delay_50ms_JhAQbceSlK_parsed_handshake.csv,1638468656.0438507,27.464637334374697,1638468656.1797826,27.464487371395723,498.5,17.904729234534965,135.93447781755833,3.0523680850051096,rsa,,1000.0,0.0,delay,,50ms,,8.041082164328657,0.02939830886815805,4.546092184368738,0.030941749681272692,3069.25250501002,6.739321051655883,300.04208416833666,2.0421554789639975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\TCPDUMP_rsa_numSamples_10_delay_0ms_EHyDwzTRHc_parsed_handshake.csv,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan,,nan
