RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
391.7207717895508,362.2088432312012,417.08993911743164,402.1720886230469,390.2738094329834,388.11779022216797,
379.08291816711426,399.30200576782227,385.5018615722656,401.7679691314697,370.2280521392822,370.21899223327637,
401.38792991638184,368.7601089477539,377.03990936279297,404.2060375213623,388.369083404541,394.8049545288086,
398.2961177825928,367.46692657470703,407.0320129394531,413.8340950012207,390.8519744873047,381.8211555480957,
403.89013290405273,389.16015625,383.4381103515625,386.5630626678467,374.25708770751953,385.07699966430664,
380.8000087738037,381.2370300292969,410.97211837768555,401.60584449768066,374.2549419403076,385.8978748321533,
401.5181064605713,397.7341651916504,418.3499813079834,413.3341312408447,377.0291805267334,402.1909236907959,
394.07801628112793,388.4320259094238,370.43190002441406,405.12704849243164,368.0751323699951,399.5950222015381,
392.6889896392822,379.35781478881836,373.6109733581543,395.5228328704834,361.2098693847656,365.65113067626953,
394.2251205444336,375.75387954711914,398.2532024383545,409.5139503479004,366.63198471069336,385.21695137023926,
387.43090629577637,396.84295654296875,394.8400020599365,398.20098876953125,386.3649368286133,369.7478771209717,
383.10694694519043,399.6899127960205,392.27795600891113,401.0469913482666,390.17295837402344,383.5020065307617,
383.73398780822754,383.8388919830322,395.40600776672363,401.36194229125977,365.3719425201416,391.4318084716797,
389.91785049438477,366.65797233581543,385.99514961242676,400.55394172668457,362.35904693603516,363.2040023803711,
386.5690231323242,408.71310234069824,369.48704719543457,386.9810104370117,352.2040843963623,364.15815353393555,
404.2220115661621,379.57310676574707,408.2350730895996,371.45090103149414,379.8489570617676,386.48319244384766,
389.0111446380615,371.91200256347656,404.1941165924072,407.93299674987793,387.32194900512695,387.13693618774414,
397.4490165710449,364.26615715026855,423.6319065093994,393.6741352081299,394.4737911224365,390.71106910705566,
376.8789768218994,385.42985916137695,412.7988815307617,371.62208557128906,386.7042064666748,378.35192680358887,
396.9850540161133,381.93702697753906,414.26706314086914,374.76110458374023,367.0370578765869,369.2450523376465,
399.2931842803955,397.6931571960449,367.10500717163086,388.00907135009766,353.26504707336426,397.5551128387451,
399.66797828674316,364.53795433044434,397.3851203918457,400.0871181488037,391.8769359588623,363.1870746612549,
403.98311614990234,408.2040786743164,371.2790012359619,365.57888984680176,381.7899227142334,366.2858009338379,
391.9110298156738,400.8369445800781,388.1499767303467,374.1130828857422,359.3120574951172,374.88579750061035,
390.6419277191162,352.3211479187012,422.2731590270996,412.24002838134766,388.42105865478516,373.431921005249,
387.50290870666504,375.01001358032227,372.5578784942627,402.66990661621094,388.31496238708496,386.2910270690918,
394.8497772216797,381.0749053955078,419.3911552429199,410.2809429168701,370.8059787750244,394.758939743042,
383.620023727417,407.18913078308105,399.7039794921875,410.94398498535156,362.1540069580078,395.8740234375,
370.07880210876465,378.3278465270996,367.37918853759766,367.42091178894043,371.00887298583984,386.72614097595215,
387.85791397094727,375.316858291626,395.064115524292,407.43494033813477,390.9909725189209,385.1029872894287,
398.1349468231201,399.32894706726074,389.52183723449707,398.0550765991211,370.6398010253906,391.8161392211914,
378.85022163391113,379.5509338378906,389.04500007629395,413.4371280670166,363.33608627319336,363.6610507965088,
388.54479789733887,409.3661308288574,381.1841011047363,402.41289138793945,358.1819534301758,403.3658504486084,
402.77600288391113,369.33183670043945,389.85395431518555,391.8771743774414,367.3720359802246,367.5689697265625,
397.705078125,392.96698570251465,377.3510456085205,394.3450450897217,382.2369575500488,385.04815101623535,
387.2840404510498,390.5489444732666,382.9188346862793,371.55795097351074,392.38905906677246,401.4279842376709,
387.2859477996826,401.5240669250488,367.9490089416504,401.6439914703369,379.63199615478516,394.4120407104492,
384.9599361419678,399.2428779602051,406.343936920166,378.9989948272705,359.82298851013184,368.1509494781494,
395.8399295806885,354.5560836791992,402.5700092315674,407.3679447174072,384.66882705688477,385.93411445617676,
388.2560729980469,394.6349620819092,419.68703269958496,416.3370132446289,387.9849910736084,380.7499408721924,
