RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),
393.218994140625,405.92384338378906,414.02482986450195,361.0389232635498,388.98205757141113,393.88012886047363,
402.55212783813477,399.5239734649658,399.51086044311523,365.08893966674805,384.1440677642822,389.2350196838379,
365.13495445251465,413.7740135192871,406.7981243133545,392.11392402648926,395.45392990112305,405.01904487609863,
379.0888786315918,401.0298252105713,397.45593070983887,373.884916305542,389.27412033081055,386.96789741516113,
389.47200775146484,401.30019187927246,399.1560935974121,384.72509384155273,378.70311737060547,383.5909366607666,
375.74195861816406,362.3521327972412,371.41895294189453,391.0391330718994,384.2968940734863,397.2811698913574,
393.35179328918457,391.28708839416504,364.4709587097168,384.3231201171875,386.7778778076172,390.76900482177734,
398.5459804534912,398.42891693115234,392.38500595092773,394.52385902404785,394.66285705566406,391.77393913269043,
391.2360668182373,416.81480407714844,370.18418312072754,360.80288887023926,388.4148597717285,371.26779556274414,
390.8970355987549,401.89409255981445,407.38892555236816,364.1650676727295,388.7159824371338,379.4279098510742,
392.6088809967041,421.36693000793457,416.7189598083496,379.40192222595215,381.6981315612793,386.26790046691895,
378.8259029388428,413.3470058441162,398.2207775115967,393.3990001678467,388.5021209716797,390.37203788757324,
377.2401809692383,379.9159526824951,417.9699420928955,367.39516258239746,383.73494148254395,378.6790370941162,
387.91394233703613,405.4419994354248,402.2631645202637,357.9869270324707,395.1230049133301,380.4609775543213,
400.4039764404297,400.56514739990234,400.9840488433838,406.0070514678955,406.16297721862793,385.79297065734863,
383.55398178100586,424.61204528808594,405.67684173583984,400.62403678894043,380.6800842285156,398.3931541442871,
382.05599784851074,359.73095893859863,410.3970527648926,403.2280445098877,384.3669891357422,382.979154586792,
402.8961658477783,378.4511089324951,369.7831630706787,406.8019390106201,377.4709701538086,385.4670524597168,
394.52409744262695,395.15209197998047,435.9018802642822,393.3980464935303,385.6949806213379,378.85403633117676,
398.8208770751953,396.043062210083,416.7971611022949,401.57604217529297,392.5960063934326,372.6382255554199,
415.66991806030273,381.756067276001,368.7570095062256,396.61502838134766,388.86404037475586,391.85404777526855,
358.69693756103516,420.5949306488037,390.96808433532715,396.5928554534912,382.69519805908203,410.40897369384766,
394.75202560424805,394.27900314331055,402.1730422973633,395.9488868713379,367.8731918334961,385.5171203613281,
406.58092498779297,400.21681785583496,417.44494438171387,378.2031536102295,378.11899185180664,407.397985458374,
390.6381130218506,403.45096588134766,411.39888763427734,384.5560550689697,363.3999824523926,363.95883560180664,
401.4558792114258,422.3179817199707,395.79200744628906,412.6288890838623,387.61115074157715,398.2980251312256,
379.4991970062256,403.548002243042,391.5889263153076,363.12294006347656,389.5120620727539,387.3729705810547,
389.7058963775635,411.9091033935547,415.2259826660156,408.7059497833252,383.93688201904297,363.4939193725586,
411.68808937072754,403.6450386047363,396.5768814086914,407.0010185241699,377.77209281921387,385.2870464324951,
384.4799995422363,423.2361316680908,419.2681312561035,396.7728614807129,374.4029998779297,397.9830741882324,
395.1568603515625,401.57485008239746,414.5021438598633,396.33798599243164,378.964900970459,387.0260715484619,
371.71316146850586,395.6289291381836,416.7971611022949,406.66913986206055,369.182825088501,388.61989974975586,
389.93000984191895,365.91100692749023,392.9259777069092,400.90394020080566,385.88500022888184,363.2311820983887,
387.04800605773926,405.58409690856934,374.9430179595947,364.63308334350586,385.4482173919678,391.79396629333496,
376.147985458374,403.78403663635254,382.3089599609375,384.7630023956299,390.3379440307617,361.4940643310547,
