Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637581673.333084,1637581673.347976,0,14.891862869262695,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3703,330,0,0,0,0,,5.4,0,0,
1637581674.719716,1637581674.734133,1,14.416933059692383,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3707,330,0,0,0,0,,13.6,0,0,
1637581676.203612,1637581676.212152,2,8.539915084838867,falcon512,100,drop,TcZxwrxqiR.pcap,8,4,3713,264,0,0,0,0,,17.4,0,0,
1637581677.716684,1637581677.733469,3,16.7849063873291,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3710,330,0,0,0,0,,15.3,0,0,
1637581679.258905,1637581679.267729,4,8.82411003112793,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3706,330,0,0,0,0,,13.1,0,0,
1637581680.732241,1637581680.747938,5,15.697002410888672,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3707,330,0,0,0,0,,16.8,0,0,
1637581682.088167,1637581682.095644,6,7.477045059204102,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3706,330,0,0,0,0,,31.2,0,0,
1637581683.371856,1637581683.384907,7,13.051033020019531,falcon512,100,drop,TcZxwrxqiR.pcap,8,4,3709,264,0,0,0,0,,6.2,0,0,
1637581684.782723,1637581684.78993,8,7.207155227661133,falcon512,100,drop,TcZxwrxqiR.pcap,8,4,3709,264,0,0,0,0,,14.2,0,0,
1637581686.260655,1637581686.276621,9,15.966176986694336,falcon512,100,drop,TcZxwrxqiR.pcap,8,5,3706,330,0,0,0,0,,17.7,0,0,
1637581687.775997,1637581687.784699,10,8.70203971862793,falcon512,100,drop,TcZxwrxqiR.pcap,8,4,3710,264,0,0,0,0,,17.0,0,0,
