Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637581066.466152,1637581066.488652,0,22.500038146972656,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,4.6,0,0,
1637581067.947468,1637581067.955877,1,8.40902328491211,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,6.1,0,0,
1637581069.455477,1637581069.465195,2,9.717941284179688,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,7.9,0,0,
1637581071.034088,1637581071.043893,3,9.80520248413086,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,2.5,0,0,
1637581072.61866,1637581072.664992,4,46.33212089538574,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,45.5,0,0,
1637581074.212618,1637581074.223939,5,11.320829391479492,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,33.7,0,0,
1637581075.816727,1637581075.843008,6,26.281118392944336,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,24.9,0,0,
1637581077.399696,1637581077.408667,7,8.970975875854492,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,19.7,0,0,
1637581078.723323,1637581078.74228,8,18.956899642944336,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,42.6,0,0,
1637581080.324234,1637581080.335645,9,11.410951614379883,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,27.5,0,0,
1637581081.816459,1637581081.8283,10,11.841058731079102,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,26.4,0,0,
1637581083.40913,1637581083.426184,11,17.053842544555664,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,23.4,0,0,
1637581084.85917,1637581084.87639,12,17.220020294189453,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,27.3,0,0,
1637581086.381868,1637581086.396888,13,15.020132064819336,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,26.9,0,0,
1637581087.962551,1637581087.971314,14,8.762836456298828,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,20.2,0,0,
1637581089.515437,1637581089.529236,15,13.799190521240234,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,17.0,0,0,
1637581090.979971,1637581091.004031,16,24.06001091003418,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,24.4,0,0,
1637581092.616986,1637581092.649053,17,32.067060470581055,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,13.1,0,0,
1637581094.208097,1637581094.216791,18,8.693933486938477,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,4.3,0,0,
1637581095.599948,1637581095.615742,19,15.794038772583008,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,13.7,0,0,
1637581096.880555,1637581096.896255,20,15.700101852416992,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,34.5,0,0,
1637581098.525869,1637581098.541837,21,15.968084335327148,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,23.9,0,0,
1637581099.906305,1637581099.921281,22,14.976024627685547,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,34.1,0,0,
1637581101.354795,1637581101.363412,23,8.616924285888672,rsa,100,drop,vgwRIQAlMg.pcap,8,5,3064,330,0,0,0,0,,34.3,0,0,
1637581102.739526,1637581102.747696,24,8.169889450073242,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,7.2,0,0,
1637581104.235861,1637581104.248847,25,12.985944747924805,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,8.3,0,0,
1637581105.806629,1637581105.820577,26,13.94796371459961,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,3.6,0,0,
1637581107.329307,1637581107.347772,27,18.46480369567871,rsa,100,drop,vgwRIQAlMg.pcap,8,4,3064,264,0,0,0,0,,3.8,0,0,
