Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637581273.576899,1637581273.58991,38,13.010978698730469,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,24.7,0,0,
1637581274.886873,1637581274.896567,39,9.694099426269531,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,43.6,0,0,
1637581276.444764,1637581276.458778,40,14.014005661010742,dilithium2,100,drop,qwgbLvgDxN.pcap,10,4,7798,264,0,0,0,0,,40.3,0,0,
1637581277.908538,1637581277.915433,41,6.894826889038086,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,43.5,0,0,
1637581279.299592,1637581279.303881,42,4.288911819458008,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,8.8,0,0,
1637581280.896907,1637581280.910437,43,13.53001594543457,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,3.8,0,0,
1637581282.384862,1637581282.39628,44,11.41810417175293,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,4.8,0,0,
1637581283.630822,1637581283.634292,45,3.4699440002441406,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,27.6,0,0,
1637581285.111424,1637581285.11912,46,7.695913314819336,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,32.9,0,0,
1637581286.426058,1637581286.432305,47,6.247043609619141,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,5.9,0,0,
1637581287.831842,1637581287.835347,48,3.5049915313720703,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,15.6,0,0,
1637581289.104097,1637581289.108632,49,4.535198211669922,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,32.0,0,0,
1637581290.37157,1637581290.375947,50,4.376888275146484,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,12.7,0,0,
1637581291.860259,1637581291.878284,51,18.024921417236328,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,16.9,0,0,
1637581293.435782,1637581293.453306,52,17.524003982543945,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,12.4,0,0,
1637581294.796038,1637581294.799506,53,3.468036651611328,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,23.0,0,0,
1637581296.307438,1637581296.312029,54,4.5909881591796875,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,24.0,0,0,
1637581297.833529,1637581297.847014,55,13.484954833984375,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,22.6,0,0,
1637581299.392152,1637581299.398239,56,6.086826324462891,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,17.5,0,0,
1637581300.923557,1637581300.92824,57,4.683017730712891,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,18.2,0,0,
1637581302.250656,1637581302.256756,58,6.100177764892578,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,30.7,0,0,
1637581303.815367,1637581303.829178,59,13.811111450195312,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,29.2,0,0,
1637581305.313342,1637581305.328234,60,14.891862869262695,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,31.3,0,0,
1637581306.842584,1637581306.857546,61,14.962196350097656,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,31.4,0,0,
1637581308.396353,1637581308.411721,62,15.367984771728516,dilithium2,100,drop,qwgbLvgDxN.pcap,12,5,7930,330,0,0,0,0,,25.7,0,0,
1637581309.706001,1637581309.722887,63,16.885995864868164,dilithium2,100,drop,qwgbLvgDxN.pcap,10,5,7798,330,0,0,0,0,,2.7,0,0,
1637581311.096406,1637581311.102882,64,6.475925445556641,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,10.7,0,0,
1637581312.495661,1637581312.500597,65,4.935979843139648,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,22.1,0,0,
1637581314.075883,1637581314.086739,66,10.856151580810547,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,15.9,0,0,
1637581315.393153,1637581315.415043,67,21.89016342163086,dilithium2,100,drop,qwgbLvgDxN.pcap,10,4,7798,264,0,0,0,0,,38.3,0,0,
1637581316.72736,1637581316.731946,68,4.585981369018555,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,7.9,0,0,
1637581318.259292,1637581318.263849,69,4.557132720947266,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,5.1,0,0,
1637581319.727452,1637581319.732427,70,4.974842071533203,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,10.4,0,0,
1637581321.196669,1637581321.212387,71,15.71798324584961,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,14.2,0,0,
1637581322.739846,1637581322.745078,72,5.232095718383789,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,9.8,0,0,
1637581324.032266,1637581324.04335,73,11.08407974243164,dilithium2,100,drop,qwgbLvgDxN.pcap,10,5,7798,330,0,0,0,0,,28.7,0,0,
1637581325.499651,1637581325.52046,74,20.808935165405273,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,33.0,0,0,
1637581326.855962,1637581326.861957,75,5.995035171508789,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,3.6,0,0,
1637581328.280924,1637581328.288934,76,8.009910583496094,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,10.4,0,0,
1637581329.715126,1637581329.722837,77,7.710933685302734,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,18.2,0,0,
1637581331.302343,1637581331.307443,78,5.100011825561523,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,11.0,0,0,
