FILE NAME,Start timestamp (s) (AVERAGED),(± CI) Start timestamp (s),End timestamp (s) (AVERAGED),(± CI) End timestamp (s),Handshake number (AVERAGED),(± CI) Handshake number,Handshake duration (ms) (AVERAGED),(± CI) Handshake duration (ms),Algorithm (AVERAGED),(± CI) Algorithm,Num Samples (AVERAGED),(± CI) Num Samples,Experiment Type (AVERAGED),(± CI) Experiment Type,Type Value (AVERAGED),(± CI) Type Value,Number of handshake packets (AVERAGED),(± CI) Number of handshake packets,Number of payload packets (AVERAGED),(± CI) Number of payload packets,Number of handshake bytes (AVERAGED),(± CI) Number of handshake bytes,Number of payload bytes (AVERAGED),(± CI) Number of payload bytes,Number of long headers (AVERAGED),(± CI) Number of long headers,Number of short headers (AVERAGED),(± CI) Number of short headers,Bytes for long headers (AVERAGED),(± CI) Bytes for long headers,Bytes for short headers (AVERAGED),(± CI) Bytes for short headers, (AVERAGED),(± CI) 
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_dilithium2_numSamples_1000_drop_ZIMpvztBMC_parsed_handshake.csv,1635776882,76.53326566,1635776883,76.5333159,498.5,17.90472923,380.6829971,8.721927401,dilithium2,,1000,0,drop,,ZIMpvztBMC.pcap,,11.70240481,0.047728542,4.02004008,0.008709274,7790.963928,15.96073664,229.2024048,0.522556425,0,0,0,0,0,0,0,0,,
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_dilithium3_numSamples_1000_drop_rLhBPIEsJQ_parsed_handshake.csv,1635781169,76.47244597,1635781169,76.4725284,499,17.9136665,382.7035224,1.228522193,dilithium3,,1000,0,drop,,rLhBPIEsJQ.pcap,,13.68268268,0.032792145,4.019019019,0.008484655,10276.78078,1.930023832,229.1411411,0.509079299,0,0,0,0,0,0,0,0,,
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_dilithium5_numSamples_1000_drop_TjIyRxDijm_parsed_handshake.csv,1634666241,78.05520132,1634666241,78.05481402,498,17.8957875,383.2937117,11.58648751,dilithium5,,1000,0,drop,,TjIyRxDijm.pcap,,15.74824473,0.074306165,4.016048144,0.007813504,13658.17854,38.88729027,228.9628887,0.468810235,0,0,0,0,0,0,0,0,,
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_falcon1024_numSamples_1000_drop_RddjaknVjh_parsed_handshake.csv,1634670562,78.26535675,1634670562,78.2647921,498.1915747,17.91247604,368.1065948,1.023126121,falcon1024,,1000,0,drop,,RddjaknVjh.pcap,,11.73620863,0.040049877,4.02106319,0.008928652,5952.771314,2.316008401,229.2637914,0.535719119,0,0,0,0,0,0,0,0,,
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_falcon512_numSamples_1000_drop_ysKvrsdGEk_parsed_handshake.csv,1635785457,76.40427782,1635785457,76.40424345,499,17.9136665,362.3316403,0.901797586,falcon512,,1000,0,drop,,ysKvrsdGEk.pcap,,9.666666667,0.029282192,4.019019019,0.008484655,3715.259259,1.760783049,229.1411411,0.509079299,0,0,0,0,0,0,0,0,,
.\saopaulo_Logs_tcp-1000\pending_TCPDUMP_rsa_numSamples_1000_drop_goHUOJRcQf_parsed_handshake.csv,1634661929,76.15288536,1634661929,76.15237841,498.5,17.90472923,373.7687778,8.237811643,rsa,,1000,0,drop,,goHUOJRcQf.pcap,,9.70741483,0.040151728,4.02004008,0.008709274,3076.92986,6.785593143,229.2024048,0.522556425,0,0,0,0,0,0,0,0,,
