Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers
1634668783,1634668783,86,364.9477959,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634668787,1634668787,87,371.6509342,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5975,228,0,0,0,0
1634668791,1634668792,88,388.0341053,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5975,228,0,0,0,0
1634668796,1634668796,89,387.3510361,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5906,228,0,0,0,0
1634668800,1634668800,90,362.4379635,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5913,228,0,0,0,0
1634668804,1634668805,91,375.9379387,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634668808,1634668809,92,372.808218,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5912,228,0,0,0,0
1634668813,1634668813,93,389.1189098,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5915,228,0,0,0,0
1634668817,1634668817,94,386.3639832,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5911,228,0,0,0,0
1634668821,1634668822,95,374.2711544,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5905,228,0,0,0,0
1634668826,1634668826,96,354.4540405,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5973,228,0,0,0,0
1634668830,1634668830,97,384.403944,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634668835,1634668835,98,360.7990742,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5968,228,0,0,0,0
1634668839,1634668839,99,376.0499954,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5964,228,0,0,0,0
1634668843,1634668843,100,387.6779079,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5963,228,0,0,0,0
1634668848,1634668848,101,372.9598522,falcon1024,1000,drop,RddjaknVjh.pcap,14,4,6079,228,0,0,0,0
1634668852,1634668852,102,375.7910728,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5974,228,0,0,0,0
1634668856,1634668856,103,337.3539448,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5960,228,0,0,0,0
1634668860,1634668860,104,339.3478394,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634668864,1634668865,105,368.0019379,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5900,228,0,0,0,0
1634668869,1634668869,106,372.2529411,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634668873,1634668874,107,361.7558479,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634668877,1634668878,108,389.4438744,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5965,228,0,0,0,0
1634668881,1634668882,109,390.3119564,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634668886,1634668886,110,365.8699989,falcon1024,1000,drop,RddjaknVjh.pcap,13,5,6018,288,0,0,0,0
1634668890,1634668890,111,347.178936,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5913,228,0,0,0,0
1634668894,1634668895,112,367.9699898,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5966,228,0,0,0,0
1634668899,1634668899,113,380.0261021,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5972,228,0,0,0,0
1634668903,1634668903,114,388.1449699,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5970,228,0,0,0,0
1634668907,1634668908,115,373.925209,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5977,228,0,0,0,0
1634668912,1634668912,116,382.8499317,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5963,228,0,0,0,0
1634668916,1634668916,117,361.5031242,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5968,228,0,0,0,0
1634668920,1634668921,118,341.4700031,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5971,228,0,0,0,0
1634668924,1634668925,119,383.9149475,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634668929,1634668929,120,343.4538841,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5969,228,0,0,0,0
1634668933,1634668933,121,363.3179665,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5967,228,0,0,0,0
1634668937,1634668937,122,381.0238838,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5965,228,0,0,0,0
1634668941,1634668942,123,411.88097,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5911,228,0,0,0,0
1634668946,1634668946,124,354.7918797,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5910,228,0,0,0,0
1634668950,1634668950,125,380.8970451,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5972,228,0,0,0,0
1634668954,1634668954,126,354.8190594,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5906,228,0,0,0,0
1634668958,1634668959,127,374.6449947,falcon1024,1000,drop,RddjaknVjh.pcap,12,4,5962,228,0,0,0,0
1634668963,1634668963,128,369.5020676,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5907,228,0,0,0,0
1634668967,1634668967,129,369.6038723,falcon1024,1000,drop,RddjaknVjh.pcap,11,4,5904,228,0,0,0,0
