FILE NAME,Start timestamp (s) (AVERAGED),(± CI) Start timestamp (s),End timestamp (s) (AVERAGED),(± CI) End timestamp (s),Handshake number (AVERAGED),(± CI) Handshake number,Handshake duration (ms) (AVERAGED),(± CI) Handshake duration (ms),Algorithm (AVERAGED),(± CI) Algorithm,Num Samples (AVERAGED),(± CI) Num Samples,Experiment Type (AVERAGED),(± CI) Experiment Type,Type Value (AVERAGED),(± CI) Type Value,Number of handshake packets (AVERAGED),(± CI) Number of handshake packets,Number of payload packets (AVERAGED),(± CI) Number of payload packets,Number of handshake bytes (AVERAGED),(± CI) Number of handshake bytes,Number of payload bytes (AVERAGED),(± CI) Number of payload bytes,Number of long headers (AVERAGED),(± CI) Number of long headers,Number of short headers (AVERAGED),(± CI) Number of short headers,Bytes for long headers (AVERAGED),(± CI) Bytes for long headers,Bytes for short headers (AVERAGED),(± CI) Bytes for short headers, (AVERAGED),(± CI) 
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_0ms_OzrjjTdjGC_parsed_handshake.csv,1637241818.1523793,3.1216601762384606,1637241818.1618774,3.122817889946809,4.0,2.1050841374299436,9.498198827107748,3.5257289744491684,dilithium2,,10.0,0.0,delay,,0ms,,9.11111111111111,1.1168487764441535,4.444444444444445,0.40512363113732963,7739.333333333333,73.71201924531415,293.3333333333333,26.73815965506376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_100ms_euMbKcISAM_parsed_handshake.csv,1637241874.5510762,3.176793149069283,1637241874.7824488,3.1786529699951367,4.0,2.1050841374299436,231.37254185146756,3.3309360765377165,dilithium2,,10.0,0.0,delay,,100ms,,12.0,0.0,4.333333333333333,0.3843340225055617,7930.0,0.0,286.0,25.366045485367074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_200ms_WovfPoEaoN_parsed_handshake.csv,1637241902.5403569,3.051359788689248,1637241902.966358,3.052960687321823,4.0,2.1050841374299436,426.00131034851074,6.391399513678795,dilithium2,,10.0,0.0,delay,,200ms,,12.222222222222221,0.512445363340749,4.444444444444445,0.40512363113732963,7944.666666666667,33.82139398048943,293.3333333333333,26.73815965506376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_300ms_npjYZvfqwf_parsed_handshake.csv,1637241930.6989338,3.030813867869502,1637241931.3149595,3.0286809235212475,4.0,2.1050841374299436,616.0260571373833,5.604270748240216,dilithium2,,10.0,0.0,delay,,300ms,,12.0,0.0,4.111111111111111,0.2562226816703745,7930.0,0.0,271.3333333333333,16.910696990244716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_400ms_PIVgPDVQak_parsed_handshake.csv,1637241958.6085365,3.053191247712002,1637241959.4215474,3.050660258720159,4.0,2.1050841374299436,813.0108780331082,3.220575540660914,dilithium2,,10.0,0.0,delay,,400ms,,13.444444444444445,0.5584243882220767,3.6666666666666665,0.5435303871087718,8025.333333333333,36.856009622657076,242.0,35.873005549178934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium2_numSamples_10_delay_50ms_HKtyjQlFWW_parsed_handshake.csv,1637241846.3308802,3.175320639688625,1637241846.462991,3.175779979417236,4.0,2.1050841374299436,132.1113109588623,5.170125726149339,dilithium2,,10.0,0.0,delay,,50ms,,12.11111111111111,0.6008954520654731,4.555555555555555,0.40512363113732963,7937.333333333333,39.659099836321225,300.6666666666667,26.73815965506376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium3_numSamples_10_delay_0ms_pYDWxbMirh_parsed_handshake.csv,1637241992.4948514,2.9924299745224303,1637241992.5043623,2.9935348950197462,4.0,2.1050841374299436,9.511099921332466,4.860385712011514,dilithium3,,10.0,0.0,delay,,0ms,,10.333333333333334,0.5435303871087718,4.333333333333333,0.3843340225055617,10206.0,35.873005549178934,286.0,25.366045485367074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium3_numSamples_10_delay_100ms_wfhTBTHjsD_parsed_handshake.csv,1637242047.9760983,3.01543423113777,1637242048.2057207,3.018873472945055,4.0,2.1050841374299436,229.62247000800238,6.112156941500227,dilithium3,,10.0,0.0,delay,,100ms,,13.666666666666666,0.5435303871087718,4.444444444444445,0.40512363113732963,10426.0,35.873005549178934,293.3333333333333,26.73815965506376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium3_numSamples_10_delay_200ms_ciCzPmJaTq_parsed_handshake.csv,1637242075.877998,2.9788927551161035,1637242076.299073,2.9805593904042134,4.0,2.1050841374299436,421.07446988423663,5.2783044183825805,dilithium3,,10.0,0.0,delay,,200ms,,13.88888888888889,0.2562226816703745,4.444444444444445,0.40512363113732963,10440.666666666666,16.910696990244716,293.3333333333333,26.73815965506376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\tcp_Local_Experiments\fullyAutomatedLogs_10_tcp_delay\pending_TCPDUMP_dilithium3_numSamples_10_delay_300ms_OzbTvQnArH_parsed_handshake.csv,1637242103.8882904,2.982863584353786,1637242104.504887,2.983414247335252,4.0,2.1050841374299436,616.5965663062202,6.153748243226962,dilithium3,,10.0,0.0,delay,,300ms,,14.0,0.0,4.111111111111111,0.2562226816703745,10448.0,0.0,271.3333333333333,16.910696990244716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
